"","site_location_name","ignition_d","OBJECTID","fire_id","fire_name","capture_da","extinguish","fire_type","ignition_c","capt_metho","area_ha","perim_km","state","agency","Shape__Are","Shape__Len","Data_Source.x","BurnDate","FirstDay","LastDay","Data_Source.y"
"74","SAAEYB0024",1977-12-31,99232,"0","",NA,"","Bushfire","","Unknown",13829,148,"SA (South Australia)","SA DEW",0.013715897420298,1.0311607743963,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"75","SAAKAN0005",1986-12-31,16632,"0","",NA,"","Bushfire","","Unknown",4621,162,"SA (South Australia)","SA DEW",0.004985745492831,1.01056066694137,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"76","WAAVIB0001",2023-04-20,38232,"EKM_052","Parry Lagoons Ngamoowalem",NA,"","Prescribed Burn","","Multiple",108511,190,"WA (Western Australia)","WA DFES",0.091474500095728,1.73939737096818,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"77","WAAVIB0002",2023-04-20,38232,"EKM_052","Parry Lagoons Ngamoowalem",NA,"","Prescribed Burn","","Multiple",108511,190,"WA (Western Australia)","WA DFES",0.091474500095728,1.73939737096818,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"78","SATKAN0001",1983-12-31,258834,"0","",NA,"","Bushfire","","Unknown",724,12,"SA (South Australia)","SA DEW",0.000720349429685,0.124526272456916,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"79","WAASWA0001",2022-04-22,124835,"SWC_084","Lowlands",NA,"","Prescribed Burn","","Landsat",115,8,"WA (Western Australia)","WA DFES",0.000110822148827,0.062656963005502,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"80","NSTSYB0005",1957-11-01,210038,"","Blue Mountains fire",NA,"1957/12/31","Bushfire","","",4360,73,"NSW (New South Wales)","NSW PWS",0.004238701530539,0.715361051929364,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"81","QDAGUP0029",2003-11-01,60637,"","Staaten River National Park/2003/W/2",NA,"","Bushfire","","",865453,1263,"QLD (Queensland)","QPWS",0.756159431135302,7.88069180288356,"Historical_BushFires_Boundaries",307,286,346,"MODIS/061/MCD64A1"
"82","QDAGUP0030",2003-11-01,60637,"","Staaten River National Park/2003/W/2",NA,"","Bushfire","","",865453,1263,"QLD (Queensland)","QPWS",0.756159431135302,7.88069180288356,"Historical_BushFires_Boundaries",307,286,346,"MODIS/061/MCD64A1"
"83","QDAGUP0031",2003-11-01,60637,"","Staaten River National Park/2003/W/2",NA,"","Bushfire","","",865453,1263,"QLD (Queensland)","QPWS",0.756159431135302,7.88069180288356,"Historical_BushFires_Boundaries",307,286,346,"MODIS/061/MCD64A1"
"84","SAAFLB0006",2014-01-15,311239,"201401090","Bangor",NA,"","Bushfire","","Aerial photography",33357,490,"SA (South Australia)","SA DEW",0.003504461908506,0.464946598797235,"Historical_BushFires_Boundaries",NA,NA,NA,NA
