,Group_Code
SASMDD0008,6
SASMDD0009,6
SASMDD0010,6
SASMDD0011,6
SASMDD0012,6
SASMDD0013,6
SASMDD0014,6
SASMDD0016,6
SASMDD0017,6
SASMDD0018,6
SASRIV0001,6
SASRIV0002,6
SATEYB0001,5
SATEYB0002,5
SATFLB0001,5
SATFLB0002,5
SATFLB0003,5
SATFLB0004,6
SATFLB0005,6
SATFLB0006,6
SATFLB0007,6
SATFLB0008,6
SATFLB0009,6
SATFLB0010,6
SATFLB0011,6
SATFLB0012,5
SATFLB0013,5
SATFLB0014,5
SATFLB0015,4
SATFLB0016,6
SATFLB0017,6
SATFLB0018,6
SATFLB0019,6
SATFLB0020,6
SATFLB0021,6
SATFLB0022,6
SATFLB0023,6
SATFLB0024,6
SATFLB0025,6
SATFLB0026,4
SATFLB0027,5
SATFLB0028,5
SATKAN0001,5
SATKAN0002,5
SATKAN0003,5
SATKAN0004,5
SATSTP0001,6
SATSTP0002,6
SATSTP0003,6
SATSTP0004,6
SATSTP0005,6
SATSTP0006,6
SATSTP0007,6
SATSTP0008,6
TCABEL0001,4
TCABEL0002,4
TCABEL0003,4
TCATCH0001,4
TCATCH0002,4
TCATCH0003,4
TCATCH0004,4
TCATCH0005,4
TCATCH0006,4
TCATCH0007,4
TCATCH0008,4
TCATCH0009,4
TCATCH0010,4
TCATCH0011,4
TCATCH0012,4
TCATNM0001,4
TCATNM0002,4
TCATNM0003,4
TCATNM0004,4
TCATNM0005,4
TCATNM0006,4
TCFBEL0001,4
TCFBEL0002,4
TCFKIN0001,4
TCFKIN0002,4
TCFTNS0001,4
TCFTNS0002,4
TCFTNS0003,4
TCFTNS0004,4
TCFTSR0001,4
TCFTSR0002,4
TCFTSR0003,4
TCFTSR0004,4
TCFTSR0005,4
TCFTSR0006,4
VCAAUA0001,4
VCAAUA0002,4
VCAAUA0003,4
VCAAUA0004,4
VCAAUA0005,4
VCAAUA0006,4
VCAAUA0007,4
VCAAUA0008,4
VCAAUA0009,4
VCAAUA0010,4
VCAAUA0011,4
VCAAUA0012,4
VCAAUA0013,4
VCAAUA0014,4
VCAAUA0015,4
VCAMDD0001,5
VCAMDD0002,5
VCAMDD0003,5
VCFSEH0001,4
VCFSEH0002,4
VCFSEH0003,4
VCFSEH0004,4
VCFSEH0005,4
VCFSEH0006,4
VCFSEH0007,4
VCFSEH0008,4
WAAAVW0001,5
WAAAVW0002,5
WAAAVW0003,5
WAAAVW0004,5
WAAAVW0005,5
WAAAVW0006,5
WAAAVW0007,5
WAAAVW0008,5
WAACAR0001,6
WAACAR0002,6
WAACAR0003,6
WAACAR0004,6
WAACEK0001,2
WAACEK0002,2
WAACEK0003,2
WAACOO0001,5
WAACOO0002,5
WAACOO0003,5
WAACOO0004,5
WAACOO0005,5
WAACOO0006,5
WAACOO0007,5
WAACOO0008,5
WAACOO0009,6
WAACOO0010,6
WAACOO0011,6
WAACOO0012,6
WAACOO0016,6
WAACOO0017,6
WAACOO0018,6
WAACOO0019,5
WAACOO0020,6
WAACOO0021,6
WAACOO0022,6
WAACOO0023,6
WAACOO0024,6
WAACOO0025,6
WAACOO0026,6
WAACOO0027,6
WAACOO0028,6
WAACOO0029,6
WAACOO0030,6
WAACOO0031,6
WAACOO0032,6
WAACOO0034,6
