,site_location_name,M1_Negatives,M2_Negatives
572,WAACEK0001,2,2
573,WAACEK0002,0,0
574,WAACEK0003,0,3
575,WAACOO0001,12,32
576,WAACOO0002,12,34
577,WAACOO0003,12,34
578,WAACOO0004,12,34
579,WAACOO0005,14,34
580,WAACOO0006,14,34
581,WAACOO0007,14,34
582,WAACOO0008,14,34
583,WAACOO0009,5,9
584,WAACOO0010,5,9
585,WAACOO0011,5,9
586,WAACOO0012,5,9
587,WAACOO0016,7,13
588,WAACOO0017,5,12
589,WAACOO0018,7,13
590,WAACOO0019,7,15
591,WAACOO0020,4,6
592,WAACOO0021,4,6
593,WAACOO0022,4,6
594,WAACOO0023,4,6
595,WAACOO0024,4,6
596,WAACOO0025,4,7
597,WAACOO0026,5,6
598,WAACOO0027,6,9
599,WAACOO0028,6,9
600,WAACOO0029,5,6
601,WAACOO0030,62,266
602,WAACOO0031,6,7
603,WAACOO0032,5,7
604,WAADAL0001,0,1
605,WAADAL0002,1,2
606,WAADAL0003,1,2
607,WAADAL0004,1,2
608,WAADAL0005,13,14
609,WAAESP0001,10,29
610,WAAGAS0001,11,14
611,WAAGAS0002,11,13
612,WAAGES0001,27,56
613,WAAGES0002,27,57
614,WAAGES0003,25,54
615,WAAGES0004,23,57
616,WAAGES0005,26,56
617,WAAGSD0001,5,10
618,WAAGVD0001,1,2
619,WAAHAM0001,44,114
620,WAAHAM0002,28,85
621,WAAHAM0003,37,90
622,WAAHAM0004,42,110
623,WAAHAM0005,85,196
624,WAAHAM0006,78,342
625,WAAJAF0001,34,96
626,WAAJAF0002,24,74
627,WAAJAF0003,14,36
628,WAALSD0001,9,15
629,WAALSD0002,7,11
630,WAALSD0003,17,20
631,WAAMAL0001,75,298
632,WAAMAL0002,14,32
633,WAAMAL0003,13,28
634,WAAMUR0001,9,10
635,WAAMUR0002,11,13
636,WAAMUR0003,2,5
637,WAAMUR0004,1,3
638,WAAMUR0005,1,3
639,WAAMUR0006,1,3
640,WAAMUR0007,3,6
641,WAAMUR0008,1,2
642,WAAMUR0028,10,14
643,WAAMUR0029,10,14
644,WAAMUR0030,10,14
645,WAAMUR0031,7,11
646,WAANOK0001,9,13
647,WAANOK0002,9,13
648,WAANOK0003,11,14
649,WAANOK0004,4,8
650,WAANOK0005,3,7
651,WAANOK0006,11,14
652,WAANOK0007,7,11
653,WAANOK0008,4,8
654,WAANUL0001,25,135
655,WAANUL0002,22,113
656,WAANUL0003,1,2
657,WAANUL0004,0,0
658,WAANUL0005,0,4
659,WAANUL0006,1,7
660,WAANUL0007,1,8
661,WAANUL0008,4,10
662,WAANUL0009,0,0
663,WAAPIL0001,23,26
664,WAAPIL0002,2,6
665,WAAPIL0003,5,6
666,WAAPIL0004,6,6
667,WAAPIL0005,5,6
668,WAAPIL0007,6,10
669,WAAPIL0008,1,3
670,WAAPIL0009,3,4
671,WAAPIL0010,5,5
672,WAAPIL0011,5,5
673,WAAPIL0012,23,26
674,WAAPIL0014,20,22
675,WAAPIL0015,16,18
676,WAAPIL0016,17,20
677,WAAPIL0018,15,18
678,WAAPIL0019,10,13
679,WAAPIL0020,1,5
680,WAAPIL0021,1,5
681,WAAPIL0022,1,5
682,WAAPIL0023,8,10
683,WAAPIL0024,8,10
684,WAAPIL0025,6,10
685,WAAPIL0026,6,9
686,WAAPIL0027,6,10
687,WAAPIL0028,6,9
688,WAAPIL0029,6,9
689,WAAPIL0030,9,11
690,WAAPIL0031,8,11
691,WAAPIL0032,12,14
692,WAAPIL0033,14,15
693,WAAPIL0034,9,10
694,WAAPIL0035,12,12
695,WAASWA0001,7,13
696,WAASWA0002,7,13
697,WAASWA0003,7,13
698,WAASWA0004,6,10
699,WAAVIB0001,1,1
