"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","grass","shrub","tree","vegetation_type"
"63","NSAMDD0023",0,0,6.7,0,0.1,0,18.4,0,0,0,0,0,0,0,3,0,0,0,13,1.2,0.1,19.6,9.8,13,"grass"
"64","NSAMDD0024",0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,23.9,0,0,0,1,6.4,0,12.3,23.9,1,"shrub"
"65","NSAMDD0025",0,0,0.5,0,0,0,9.2,0,0,0,0,0,0,0,2.2,0,0,0,16,0.1,0,9.3,2.7,16,"tree"
"66","NSAMDD0026",0,0,0.1,0,0,0,16.2,0,0,0,0,0,0,0,7.4,0,0,0,0,0.2,0,16.4,7.5,0,"grass"
"67","NSAMDD0027",0,0,0.8,0,0.1,0.4,0.4,0,0,0,0,0.1,0,0,2.2,0,0,0,29.1,0.4,0,0.8,3,29.1,"tree"
"68","NSAMDD0028",0,0,9.4,0,0,0,0.8,0,0,0,0,0,0,0,17.6,0,0,0,0,1.1,0,1.9,27,0,"shrub"
"69","NSAMDD0029",0,0,5,0,0,0,3.6,0,0,0,0,0,0,0,11.2,0,0,0,0,8.2,0.1,11.8,16.3,0,"shrub"
"70","NSAMDD0030",0,0,9.4,0,0,0,2.5,0,0,0,0,0,0,0,1.3,0,0,0,18,0.8,0,3.3,10.7,18,"tree"
"71","NSAMDD0031",0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,22.9,0,0,0,11.7,0,0,0.6,22.9,11.7,"shrub"
"72","NSAMDD0032",0,0,0.6,0,0,0,5.4,0,0,0,0,0,0,0,3.1,0,0,0,31.5,0.2,0,5.6,3.7,31.5,"tree"
"73","NSAMUL0001",0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0.3,0.1,0,0.1,24.2,0.3,"shrub"
"74","NSAMUL0002",0,0,2.3,0,0,0,2.8,0,0,0,0,0,0,0,15.1,0,0,0,19.2,0,0,2.8,17.4,19.2,"tree"
"75","NSAMUL0003",0,0,0.3,0,0,1.8,0.4,0,0,0,0,0,0,0,7,0,0,0,16.3,0.2,0,0.6,7.3,16.3,"tree"
"76","NSAMUL0004",0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.5,0,0,0,40.9,0.3,0,0.5,0.5,40.9,"tree"
"77","NSANAN0001",0,0,0,0,0,0,2.1,0,0,3.4,0,0,4.6,0,4.4,0,0,0,61.9,31.7,0,38.4,7.8,61.9,"tree"
"78","NSANAN0002",0,0,0,0,0,0,1.1,0,0,0,0,0,0.6,0,2.9,0,0,0,46.8,4,0,5.7,2.9,46.8,"tree"
"79","NSANET0001",0,0,0,0,0,0,0.9,0,0.6,4.5,0,0,0.2,6.3,15,0,0,0,44.8,2.8,0,10.2,20.1,44.8,"tree"
"80","NSANSS0001",0,0,0,0,0,0.2,0.1,0,0.2,0,0,0,8,23,2.5,0,0,0,58.4,2.3,0,33.4,2.7,58.4,"tree"
"81","NSANSS0002",0,0,0,0,0,0,3.2,0,0,0.5,0,0,0.1,0.1,2.8,0,0,0,57.9,2.7,0,6.1,3.3,57.9,"tree"
"82","NSTNSS0001",0,0,0,0,0,0,2.8,0,0,0,0,0,0.9,0,6.5,0,0,0,50.9,1.9,0,5.6,6.5,50.9,"tree"
"83","NSTSYB0001",0,0,0,0,0,0.3,15.3,0,0,0,0,0,0,9.9,61.3,0.2,0,0,38.9,0.6,0.8,25.8,62.3,38.9,"shrub"
"84","NSTSYB0002",0,0,0,0,0.1,0.8,2.3,0,0,0,0,0,0,15.3,61.2,0,0,0,64.5,0.6,0.2,18.2,61.4,64.5,"tree"
"85","NSTSYB0003",0,0,0,0,0,0.1,2.7,0,0,0,0,0,0,11.6,57.7,0,0,0,57.1,0.6,0,14.9,57.7,57.1,"shrub"
"86","NSTSYB0004",0,0,0,0,0,0.9,8,0,0,0,0,0,2.8,7.5,50.5,0,0,0,71.3,2.4,0.5,20.7,51,71.3,"tree"
"87","NSTSYB0005",0,0,0,0,0,0.5,14,0,0,0,0,0,1.2,17.2,45.4,0,0,0,49.2,0.9,0.6,33.3,46,49.2,"tree"
"88","NSTSYB0006",0,0,0,0,0,4.3,4.7,0,0,0,0,0,0,0,36.1,0,0,0,55.2,2.2,0,6.9,36.1,55.2,"tree"
"89","NSTSYB0007",0,0,0,0,0.3,0,3.8,0,0,0,0,0,0,1.3,21.2,0,0,0,56.2,41.2,0,46.3,21.2,56.2,"tree"
"90","NSTSYB0008",0,0,0,0,0,0,2.8,0,0,0,0,0,3.9,0,3,0,0,0,55.3,22.3,0,29,3,55.3,"tree"
"91","NSTSYB0009",0,0,0,0,0,0.4,18.4,0,0,0,0,0,0,24.7,50.2,0.7,0,0,26.7,0.4,0,43.5,50.9,26.7,"shrub"
"92","NTAARP0001",0,0,0,0,0,0,4.7,0,0,0,8.5,0,0,0.4,7.3,0,0,0,44.8,23.5,0,37.1,7.3,44.8,"tree"
"93","NTAARP0002",0,0,0,0,0,0,4.7,0,0,0,4.3,0,0.5,3.6,6.4,0,0,0,23.7,20.1,0.2,33.2,6.6,23.7,"grass"
"94","NTAARP0003",0,0,0,0,0.1,0,0.6,0,0,0.1,0.9,0,0,0,3.7,0,0,0,19.4,6.9,0.3,8.4,4.1,19.4,"tree"
"95","NTAARP0004",0,0,0,0,0,0,1.8,0,0,0,0,0,1.15,0.05,16.2,0,0,0,26.65,35.4,3.25,38.4,19.45,26.65,"grass"
"96","NTAARP0005",0,0,0,0,0,0,6.75,0,0,0,23.35,0,0.4,0.85,25.35,0,0,0,40.45,7.25,0.25,38.6,25.6,40.45,"tree"
"97","NTABRT0001",0,0,0.2,0,0,0.05,2.45,0,0,0,0.5,0,0,0,26.9,0,0,0,8.35,21,0.5,23.95,27.6,8.35,"shrub"
