"","X","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter","pv_filter_percentile","npv_filter_percentile","bs_filter_percentile"
"61",61,"NSAMDD0019-57081",31.4,60,8.6,NA,4,"NSAMDD0019","2014-08-07","2014-08-01",25.7058180685673,53.0308636588386,20.1085575653181,0.719753086419753,0.650617283950617,0.334567901234568
"62",62,"NSAMDD0020-56984",33.3,52.7,14.1,NA,4,"NSAMDD0020","2014-08-07","2014-08-09",31.3088057889978,53.4784440909584,14.1340498947398,0.473815461346633,0.723192019950125,0.485037406483791
"63",63,"NSAMDD0021-57082",25.9,60.9,13.2,NA,4,"NSAMDD0021","2014-08-08","2014-08-01",31.7886908335074,53.2165391602407,13.9487220491281,0.61892901618929,0.798256537982565,0.301369863013699
"64",64,"NSAMDD0022-56985",59.2,33.2,7.4,0.1,0,"NSAMDD0022","2014-08-09","2014-08-01",38.9426556559188,48.9136358386477,10.996741815418,0.657107231920199,0.369077306733167,0.349127182044888
"65",65,"NSAMDD0023-57083",29.3,62.9,7.8,NA,4,"NSAMDD0023","2014-08-10","2014-08-08",35.3192842344368,51.6881757259619,12.0369950573903,0.81615302869288,0.283740701381509,0.229543039319872
"66",66,"NSAMDD0024-56986",29.5,58.4,12.1,NA,4,"NSAMDD0024","2014-08-10","2014-08-08",22.4786330800229,60.2707745470813,16.2154769894684,0.553466509988249,0.688601645123384,0.403055229142186
"67",67,"NSAMDD0025-57084",17.8,77.8,4.4,NA,4,"NSAMDD0025","2014-08-12","2014-08-08",30.5364139566177,55.3713055988867,12.9477673325811,0.543153049482163,0.781357882623705,0.243958573072497
"68",68,"NSAMDD0026-56987",21.8,51.5,26.7,NA,4,"NSAMDD0026","2014-08-12","2014-08-08",16.3758812476402,52.9026795701639,29.3913598133939,0.560090702947846,0.6859410430839,0.45124716553288
"69",69,"NSAMDD0027-57087",30.5,45.3,24.2,NA,4,"NSAMDD0027","2014-08-13","2014-08-08",19.1282560440997,52.837867184136,26.8008284041159,0.581422018348624,0.610091743119266,0.440366972477064
"70",70,"NSAMDD0028-56988",21.7,47,31.1,0.2,0,"NSAMDD0028","2014-08-13","2014-08-08",19.0278962523516,50.2418066969076,29.5265096100965,0.637599093997735,0.84484711211778,0.289920724801812
