"","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter"
"78","NSAMUL0004-58560",39.7,32.5,27.8,NA,4,"NSAMUL0004",2018-04-15,2018-04-13,10.8516363832494,52.994089131733,34.9091515573364
"79","NSANAN0001-58583",79.2,20.7,0.1,NA,4,"NSANAN0001",2018-05-16,2018-05-17,58.3388218549509,29.6394080952741,10.3804710855005
"80","NSANAN0002-58561",44.1,41.9,14.1,NA,4,"NSANAN0002",2018-05-16,2018-05-17,47.773652606885,38.0902371504974,12.7677041154717
"81","NSANET0001-58584",58.9,31.9,9.2,NA,4,"NSANET0001",2018-05-18,2018-05-18,50.6075128172749,40.8629334555829,7.31865724229058
"85","NSANSS0001-58579",71.7,27.9,0.4,NA,4,"NSANSS0001",2018-05-09,2018-05-09,57.0030087492821,33.5020949980145,7.88770218787173
"86","NSANSS0002-58562",61,34.8,4.2,0.1,0,"NSANSS0002",2018-05-09,2018-05-09,52.4518412383386,35.546990622436,10.4025326688715
"87","NSTNSS0001-57641",56.5,33.3,10.2,NA,4,"NSTNSS0001",2015-11-18,2015-11-18,45.255645921995,43.0119805023695,10.1163249511989
"88","NSTSYB0001-58122",82.9,15.4,1.5,0.2,0,"NSTSYB0001",2015-11-11,2015-11-19,64.4560512071252,29.2764297621839,4.71772135672994
"89","NSTSYB0002-58008",88.8,10.4,0.7,0.1,0,"NSTSYB0002",2015-11-12,2015-11-19,65.8149893450104,18.8537546804913,14.1126325107891
"90","NSTSYB0003-58414",85.1,13.8,1.1,NA,4,"NSTSYB0003",2015-11-14,2015-11-18,58.9837140905727,34.4201993475091,5.08569312172881
"91","NSTSYB0004-58493",88.6,11,0.4,NA,4,"NSTSYB0004",2015-11-15,2015-11-26,70.8961281752198,25.4106851868424,2.06968861891432
"92","NSTSYB0005-58501",83.2,16.2,0.6,NA,4,"NSTSYB0005",2015-11-17,2015-11-26,59.8434950254154,29.3511395752105,9.5109753154875
