"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","vegetation_type","relative_dominance","scaled_dom"
"68","NSAMDD0028",0,0,9.4,0,0,0,0.8,0,0,0,0,0,0,0,17.6,0,0,0,0,1.1,0,"Shrub",0.608996539792388,10.7183384
"69","NSAMDD0029",0,0,5,0,0,0,3.6,0,0,0,0,0,0,0,11.2,0,0,0,0,8.2,0.1,"Shrub",0.398576512455516,4.4640568
"70","NSAMDD0030",0,0,9.4,0,0,0,2.5,0,0,0,0,0,0,0,1.3,0,0,0,18,0.8,0,"Tree.Palm",0.5625,10.125
"71","NSAMDD0031",0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,22.9,0,0,0,11.7,0,0,"Shrub",0.650568181818182,14.89801178
"72","NSAMDD0032",0,0,0.6,0,0,0,5.4,0,0,0,0,0,0,0,3.1,0,0,0,31.5,0.2,0,"Tree.Palm",0.772058823529412,24.3198522
"73","NSAMUL0001",0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0.3,0.1,0,"Shrub",0.967479674796748,23.02601686
"74","NSAMUL0002",0,0,2.3,0,0,0,2.8,0,0,0,0,0,0,0,15.1,0,0,0,19.2,0,0,"Tree.Palm",0.487309644670051,9.35634432
"75","NSAMUL0003",0,0,0.3,0,0,1.8,0.4,0,0,0,0,0,0,0,7,0,0,0,16.3,0.2,0,"Tree.Palm",0.626923076923077,10.21884653
"76","NSAMUL0004",0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.5,0,0,0,40.9,0.3,0,"Tree.Palm",0.973809523809524,39.82880855
"77","NSANAN0001",0,0,0,0,0,0,2.1,0,0,3.4,0,0,4.6,0,4.4,0,0,0,61.9,31.7,0,"Tree.Palm",0.572617946345976,35.44504801
"78","NSANAN0002",0,0,0,0,0,0,1.1,0,0,0,0,0,0.6,0,2.9,0,0,0,46.8,4,0,"Tree.Palm",0.844765342960289,39.53501604
"79","NSANET0001",0,0,0,0,0,0,0.9,0,0.6,4.5,0,0,0.2,6.3,15,0,0,0,44.8,2.8,0,"Tree.Palm",0.596537949400799,26.72489792
"80","NSANSS0001",0,0,0,0,0,0.2,0.1,0,0.2,0,0,0,8,23,2.5,0,0,0,58.4,2.3,0,"Tree.Palm",0.616684266103485,36.01436312
"81","NSANSS0002",0,0,0,0,0,0,3.2,0,0,0.5,0,0,0.1,0.1,2.8,0,0,0,57.9,2.7,0,"Tree.Palm",0.860326894502229,49.81292751
"82","NSTNSS0001",0,0,0,0,0,0,2.8,0,0,0,0,0,0.9,0,6.5,0,0,0,50.9,1.9,0,"Tree.Palm",0.807936507936508,41.12396785
"83","NSTSYB0001",0,0,0,0,0,0.3,15.3,0,0,0,0,0,0,9.9,61.3,0.2,0,0,38.9,0.6,0.8,"Shrub",0.481539670070699,29.51838361
"84","NSTSYB0002",0,0,0,0,0.1,0.8,2.3,0,0,0,0,0,0,15.3,61.2,0,0,0,64.5,0.6,0.2,"Tree.Palm",0.444827586206897,28.6913802
"85","NSTSYB0003",0,0,0,0,0,0.1,2.7,0,0,0,0,0,0,11.6,57.7,0,0,0,57.1,0.6,0,"Shrub",0.444530046224961,25.649381
"86","NSTSYB0004",0,0,0,0,0,0.9,8,0,0,0,0,0,2.8,7.5,50.5,0,0,0,71.3,2.4,0.5,"Tree.Palm",0.4954829742877,35.3279379
"87","NSTSYB0005",0,0,0,0,0,0.5,14,0,0,0,0,0,1.2,17.2,45.4,0,0,0,49.2,0.9,0.6,"Tree.Palm",0.381395348837209,18.76464876
"88","NSTSYB0006",0,0,0,0,0,4.3,4.7,0,0,0,0,0,0,0,36.1,0,0,0,55.2,2.2,0,"Tree.Palm",0.538536585365854,29.72722032
"89","NSTSYB0007",0,0,0,0,0.3,0,3.8,0,0,0,0,0,0,1.3,21.2,0,0,0,56.2,41.2,0,"Tree.Palm",0.453225806451613,25.47128996
"90","NSTSYB0008",0,0,0,0,0,0,2.8,0,0,0,0,0,3.9,0,3,0,0,0,55.3,22.3,0,"Tree.Palm",0.633447880870561,35.02966887
"91","NSTSYB0009",0,0,0,0,0,0.4,18.4,0,0,0,0,0,0,24.7,50.2,0.7,0,0,26.7,0.4,0,"Shrub",0.413168724279835,20.74106874
"92","NTAARP0001",0,0,0,0,0,0,4.7,0,0,0,8.5,0,0,0.4,7.3,0,0,0,44.8,23.5,0,"Tree.Palm",0.502242152466368,22.50045056
"93","NTAARP0002",0,0,0,0,0,0,4.7,0,0,0,4.3,0,0.5,3.6,6.4,0,0,0,23.7,20.1,0.2,"Tree.Palm",0.373228346456693,8.84551071
"94","NTAARP0003",0,0,0,0,0.1,0,0.6,0,0,0.1,0.9,0,0,0,3.7,0,0,0,19.4,6.9,0.3,"Tree.Palm",0.60625,11.76125
"95","NTAARP0004",0,0,0,0,0,0,1.8,0,0,0,0,0,1.15,0.05,16.2,0,0,0,26.65,35.4,3.25,"Tussock.grass",0.418934911242604,14.83029546
"96","NTAARP0005",0,0,0,0,0,0,6.75,0,0,0,23.35,0,0.4,0.85,25.35,0,0,0,40.45,7.25,0.25,"Tree.Palm",0.3865265169613,15.634996925
"97","NTABRT0001",0,0,0.2,0,0,0.05,2.45,0,0,0,0.5,0,0,0,26.9,0,0,0,8.35,21,0.5,"Shrub",0.448707256046706,12.07022637
"98","NTABRT0002",0,0,0.4,0,0,0.35,3.8,0,0,0,0,0,0,0,33.8,0,0,0,12,18.15,0,"Shrub",0.493430656934307,16.67795766
"99","NTABRT0003",0,0,0.05,0,0,0.1,4.7,0,0,0,10.5,0,0,0,20.05,0,0,0,11.2,18.1,0,"Shrub",0.309891808346213,6.21333059
"100","NTABRT0004",0,0,0.7,0,0,0,6.2,0,0,0,2,0,0,0,29.2,0,0,0,0,15.2,0,"Shrub",0.547842401500938,15.99699808
"101","NTABRT0005",0,0,0,0,0,0,6.5,0,0,0,11.1,0,0,0,1.75,0,0,0,1.15,19.8,0,"Tussock.grass",0.491315136476427,9.72803898
"102","NTABRT0006",0,0,0,0,0,0,11.65,0,0,0,0.75,0,0,0,32.55,0,0,0,1.05,16.6,0.3,"Shrub",0.517488076311606,16.844237655
"103","NTABRT0007",0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,1,0,0,0,0.3,33.1,0,"Tussock.grass",0.857512953367876,28.3836803
"104","NTABRT0008",0,0,0,0,0,0,4.5,0,0,0,6.3,0,0,0,17,0.1,0,0,0,0.1,0,"Shrub",0.607142857142857,10.3214293
"105","NTADAC0001",0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,19.7,0,0,0,29.8,77.8,2,"Tussock.grass",0.595712098009188,46.34640138
"106","NTADAC0002",0,0,0,0,0,0,15.3,0,0,0,0,0,0,0.1,24.1,0,0,0.1,26.6,24.7,0,"Tree.Palm",0.292629262926293,7.78393938
"107","NTADMR0001",0,0,0,0,0,0,0.1,0,0,0.1,19,0,0,1.9,4.4,0,0,0,0.1,1.2,0.3,"Hummock.grass",0.701107011070111,13.321033
"108","NTADMR0002",0,0,0,0,0,0,0.7,0,0,0,24,0,0,0.2,1.4,1.5,0,0.4,0,0.6,0,"Hummock.grass",0.833333333333333,19.9999992
"109","NTAFIN0001",0,0,0.266666666666667,0,0,0,5.6,0,0,0,0.3,0,0,2.06666666666667,1.26666666666667,0,0,0,0.166666666666667,7.86666666666667,0.333333333333333,"Tussock.grass",0.440298507521163,3.46368154800995
"110","NTAFIN0002",0,0,2.53333333333333,0,0.0333333333333333,0,2.43333333333333,0,0,0,6.36666666666667,0,0,0.9,12.8,0,0,0.0333333333333333,13.4666666666667,32.0333333333333,0,"Tussock.grass",0.453729933877636,14.5344811148757
"111","NTAFIN0003",0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,4.13333333333333,0,0,0,13.3666666666667,9.7,0.0666666666666667,"Tree.Palm",0.478520286401308,6.3962213449284
"112","NTAFIN0004",0,0,0.533333333333333,0,0,0.4,2.5,0,0,0,1.93333333333333,0,0,0,35.1666666666667,0,0,0,6.1,12,0.0666666666666667,"Shrub",0.599091425588199,21.0680475866364
"113","NTAFIN0005",0,0,2.36666666666667,0,0,0,0.333333333333333,0,0,0,0.0333333333333333,0,0,2.76666666666667,8.46666666666667,0,0,0.0333333333333333,2.7,11.0333333333333,0.0666666666666667,"Tussock.grass",0.396882493234046,4.37893690343725
"114","NTAFIN0006",0,0,0.333333333333333,0,0,0,5.03333333333333,0,0,0,1.6,0,0,0.0666666666666667,1.4,0,0,0,0.166666666666667,5.5,0,"Tussock.grass",0.390070922815754,2.14538995
"115","NTAFIN0007",0,0,2.86666666666667,0,0,0,2.76666666666667,0,0,0,0,0,0,0,0.9,0,0,0,0.1,8,0,"Tussock.grass",0.546697037354518,4.373576
"116","NTAFIN0008",0,0,0.0333333333333333,0,0,0,0.466666666666667,0,0,0,13.6,0,0,0,2.6,0,0,0,0,16.1333333333333,0.0333333333333333,"Tussock.grass",0.490872210038717,7.91940481030426
"117","NTAFIN0009",0,0,0.3,0,0,0,1.83333333333333,0,0,0,5.5,0,0,0,13.8,0.233333333333333,0,0.0666666666666667,2.66666666666667,3.73333333333333,0.166666666666667,"Shrub",0.487632510384697,6.7293285
"118","NTAFIN0010",0,0,0.866666666666667,0,0,0,6.23333333333333,0,0,0,6.93333333333333,0,0,0,4.56666666666667,0,0,0,0.1,4.86666666666667,0.2,"Hummock.grass",0.291725104639937,2.02262735902758
"119","NTAFIN0011",0,0,0.666666666666667,0,0,0,3.7,0,0,0,12.6333333333333,0,0,0,16.2333333333333,0,0,0,1.26666666666667,13.4666666666667,0.0333333333333333,"Shrub",0.33819444375,5.49002241539352
"120","NTAFIN0012",0,0,6.3,0,0,0,1.3,0,0,0,0,0,0,5,0,0,0,0,0,35.5,0,"Tussock.grass",0.738045738045738,26.20062235
"121","NTAFIN0013",0,0,2.1,0,0,0,1.6,0,0,0,0,0,0,0.1,7.9,0,0,0,24.1,6.8,0.5,"Tree.Palm",0.559164733178654,13.47586927
"122","NTAFIN0014",0,0,0.9,0,0.1,0,0.6,0,0,0,25.9,0,0,0,1.7,0,0,0,6.7,11.2,0,"Hummock.grass",0.549893842887473,14.24224942
"123","NTAFIN0015",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1,0,0,0,31.1,12.6,0,"Tree.Palm",0.650627615062761,20.23451836
"124","NTAFIN0016",0,0,4,0,0,0,0.4,0,0,0,0,0,0,0,0.1,0,0,0,0,25.6,0,"Tussock.grass",0.850498338870432,21.77275648
"125","NTAFIN0017",0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,12.2,23.3,0,"Tussock.grass",0.649025069637883,15.12228483
"126","NTAFIN0018",0,0,5.3,0,0,0,0.2,0,0,0,0,0,0,0,19,0,0,0,0.1,9.7,0,"Shrub",0.553935860058309,10.5247821
"127","NTAFIN0019",0,0,1.8,0,0.1,0,1,0,0,0,0,0,0,0,2.4,0,0,0,11.2,42.7,0,"Tussock.grass",0.721283783783784,30.79881826
"128","NTAFIN0020",0,0,0.1,0,0,0,1.9,0,0,0,16.7,0,0,0,0.1,0,0,0,7.4,28.4,0,"Tussock.grass",0.52014652014652,14.7721606
"129","NTAFIN0021",0,0,4.2,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,7.5,0,"Tussock.grass",0.609756097560976,4.57317075
"130","NTAFIN0022",0,0,0.2,0,0,0,1.9,0,0,0,0,0,0,0,16.5,0,0,0,0,8.8,0,"Shrub",0.602189781021898,9.9361317
"131","NTAFIN0023",0,0,0.8,0,0.3,0,0,0,0,0,25.3,0,0,0,4.9,0,0,10.1,0,3.7,0,"Hummock.grass",0.560975609756098,14.19268268
"132","NTAFIN0024",0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,12.9,1.4,0,"Tree.Palm",0.490494296577947,6.32737647
"133","NTAFIN0025",0,0,1.8,0,0,0,0.7,0,0,0,0,0,0,1.5,12.3,0,0,0,0,20.2,0,"Tussock.grass",0.553424657534247,11.17917894
"134","NTAFIN0026",0,0,1.6,0,0,0,6.7,0,0,0,0,0,0,0,18.9,0,0,0,0.2,26.7,0,"Tussock.grass",0.493530499075786,13.17726435
"135","NTAFIN0027",0,0,0.1,0,0,0,3.8,0,0,0,0,0,0,0,0.6,0,0,0,0,39.6,0,"Tussock.grass",0.897959183673469,35.55918432
"136","NTAFIN0028",0,0,7.5,0,0,0,0.7,0,0,0,0,0,0,0.3,0,0,0,0,0,6.3,0,"Chenopod",0.506756756756757,3.800676
"137","NTAFIN0029",0,0,2.5,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,19.8,0,"Tussock.grass",0.842553191489362,16.68255336
"138","NTAFIN0030",0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,3.7,41.4,0,0,0,0,7.6,0,"Shrub",0.768089053803339,31.79888874
"139","NTAFIN0031",0,0,3.9,0,0,0,1.2,0,0,0,0,0,0,0.1,9.8,0,0,0,0,3.2,0,"Shrub",0.538461538461539,5.2769227
