"","site_unique","time","diff","bs","pv","npv","ue","npixels"
"322","QDAGUP0007-53478","2013-06-15",-4,31,0,67,9,121
"323","QDAGUP0008-53529","2013-06-23",3,18,27,55,12,121
"324","QDAGUP0009-53530","2013-06-23",3,41,7,50,9,121
"325","QDAGUP0010-53479","2013-06-22",1,27,21,48,9,121
"326","QDAGUP0011-53531","2013-06-22",1,25,23,50,10,121
"327","QDAGUP0012-53525","2013-07-07",-3,36,4,58,8,121
"328","QDAGUP0013-53532","2013-07-07",-4,24,2,71,11,121
"329","QDAGUP0014-53480","2013-07-08",-3,9,10,81,10,121
"330","QDAGUP0015-53533","2013-07-15",3,8,15,76,10,121
"331","QDAGUP0016-53481","2013-07-16",4,14,20,65,10,121
"332","QDAGUP0017-53568","2013-07-15",3,37,14,46,6,121
"333","QDAGUP0018-53482","2013-07-16",3,5,36,56,12,121
"334","QDAGUP0019-53534","2013-07-16",2,41,47,15,9,121
"335","QDAGUP0020-53483","2013-07-15",0,10,23,64,11,121
"336","QDAGUP0021-53535","2013-07-16",0,15,40,43,10,121
"337","QDAGUP0022-53484","2013-07-16",0,34,10,54,6,121
"338","QDAGUP0023-53536","2013-07-16",-1,18,25,56,8,121
"339","QDAGUP0024-53485","2013-07-07",-10,28,2,67,5,121
"340","QDAGUP0025-53537","2013-07-15",-3,13,27,60,9,121
"341","QDAGUP0026-53486","2013-07-15",-3,15,23,60,9,121
"342","QDAGUP0027-53538","2013-07-16",-3,18,25,56,9,121
"343","QDAGUP0028-53487","2013-07-16",-3,14,28,57,12,121
"344","QDAGUP0029-53488","2013-09-27",3,25,17,57,8,121
"345","QDAGUP0030-53489","2013-09-27",2,15,23,60,8,121
"346","QDAGUP0031-53490","2013-09-27",3,25,21,53,8,121
"347","QDAMGD0001-53586","2013-04-13",-4,23,15,62,8,121
"348","QDAMGD0002-53587","2013-04-14",-4,35,16,45,6,121
"349","QDAMGD0003-53491","2013-04-21",1,22,20,58,9,121
"350","QDAMGD0004-53588","2013-04-22",3,45,13,39,7,121
"351","QDAMGD0005-53589","2013-04-21",2,45,15,36,8,121
"352","QDAMGD0006-53492","2013-04-21",1,35,8,56,8,121
"353","QDAMGD0007-53590","2013-04-22",1,37,12,49,8,121
"354","QDAMGD0008-53493","2013-04-22",1,35,7,56,8,121
"355","QDAMGD0009-53494","2013-04-21",-1,19,28,51,12,121
"356","QDAMGD0010-53591","2013-04-21",-2,34,31,34,13,121
"357","QDAMGD0011-53495","2013-04-21",-1,34,0,64,8,121
"358","QDAMGD0012-53496","2013-04-22",-4,33,24,42,10,121
"359","QDAMGD0013-53539","2013-05-15",1,53,2,43,6,121
"360","QDAMGD0014-53497","2013-05-15",1,45,2,51,5,121
"361","QDAMGD0015-53540","2013-05-15",0,34,10,55,5,121
"362","QDAMGD0016-53498","2013-05-15",0,27,9,63,7,121
"363","QDAMGD0017-53499","2013-05-23",7,20,1,79,10,121
"364","QDAMGD0018-53541","2013-05-23",7,19,1,77,10,121
"365","QDAMGD0019-53542","2013-05-14",-3,38,0,62,9,121
"366","QDAMGD0020-53500","2013-05-14",-3,35,12,50,8,121
"367","QDAMGD0021-53543","2013-05-29",11,44,2,52,5,121
"368","QDAMGD0022-53501","2013-05-29",11,47,2,49,6,121
"369","QDAMGD0023-53544","2013-05-29",8,13,34,52,13,121
"370","QDAMGD0024-53502","2013-05-21",0,55,0,43,4,121
"371","QDAMGD0025-53545","2013-06-16",-1,25,27,48,11,121
"372","QDAMGD0026-53503","2013-06-16",0,31,23,45,11,121
"373","QDAMGD0027-56936","2014-03-11",1,34,36,29,9,121
"374","QDAMGD0028-56937","2014-03-11",0,25,38,36,9,121
"375","QDAMII0001-53504","2013-07-07",-3,48,11,40,9,121
"376","QDAMII0002-53546","2014-03-11",0,28,24,47,10,121
"377","QDAMUL0001-53594","2013-04-22",-4,12,36,51,19,121
"378","QDAMUL0002-53505","2013-04-30",3,9,41,49,23,121
"379","QDAMUL0003-53595","2013-04-22",-4,14,31,52,18,121
"380","QDASEQ0001-58960","2021-03-24",0,0,81,18,26,121
"381","QDASEQ0002-58745",NA,NA,NA,NA,NA,NA,0
"382","QDASEQ0003-58961","2021-03-24",-1,0,77,22,26,121
"383","QDASEQ0004-58885","2021-03-24",-2,0,75,24,26,121
"384","QDASSD0001-53756","2014-04-29",-1,56,3,41,8,121
"385","QDASSD0001-57621","2015-04-16",-9,NA,NA,NA,NA,0
"386","QDASSD0001-58680","2018-06-03",-8,NA,NA,NA,NA,0
"387","QDASSD0002-53757","2014-04-29",-2,71,8,19,6,121
"388","QDASSD0002-57622","2015-04-08",-8,NA,NA,NA,NA,0
