"","site_location_name","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones"
"805","NSABHC0010",566803,6561685,54
"806","SASMDD0013",475527,6231531,54
"807","NSABHC0011",564717,6567395,54
"808","SAASTP0030",323298,6758482,54
"809","SAASTP0032",323452,6758572,54
"810","WAALSD0002",271933,7226828,51
"811","WAAMUR0002",300369,6885379,51
"812","SASRIV0001",477469.5,6233623.6,54
"814","WAAMUR0030",271670.667,6969053.844,51
"817","WAAMUR0031",268264.653,6962791.354,51
"818","WAAPIL0004",517604,7634132,50
"819","WAAPIL0012",635073,7497842,50
"820","SAASTP0031",322761,6759945,54
"821","WAAPIL0023",674709,7537960,50
"823","WAAPIL0018",704821,7528784,50
"824","WAAPIL0026",770194,7479981,50
"827","WAAPIL0029",799943,7491071,50
"828","WAAVIB0002",421961,8262027,52
"831","SAAKAN0004",678470.3,6045069,53
"833","SAASTP0016",660515,6920010,53
"834","SAASTP0022",454464,6879940,53
"835","WAAVIB0003",395495,8230123,52
"836","QDAEIU0009",415018.7,7800782.9,55
"837","WAACEK0002",738667,8113250,51
"838","SAASTP0027",484598,6931892,53
"839","WAAMUR0029",270817,6967190,51
"840","SAAGAW0006",552586.5,6622055.9,53
"841","SAASTP0001",499919,7093509,53
"842","SAASTP0005",542349,7113626,53
"843","WAACAR0002",228628.1,7068164.3,50
"844","SASMDD0011",473174,6235707,54
"846","SAASTP0033",537457.6,6641179,53
"847","WAACOO0002",752087,6522842,50
"848","SAAEYB0029",680436.7,6317564.1,53
"849","WAAPIL0027",785101,7488079,50
"851","SAASTP0034",550848.2,6640822.9,53
"852","WAAAVW0004",494055,6406489,50
"853","SAAKAN0009",709692.7,6019976.8,53
"855","WAAAVW0003",494358,6406420,50
"856","SAAKAN0012",770001.7,6024750.4,53
"858","WAAGSD0001",340184,7808554,51
"859","WAACEK0003",744087,8092663,49
"860","NSABHC0004",589699.9932,6476100.4883,54
"861","SAAKAN0001",714381,6052536,53
"863","QDAEIU0007",805421,7955702,54
"864","SAAKAN0002",700759.667,6053352.82,53
"866","WAANOK0007",237382.9,8387201.1,52
"867","NSABHC0006",573987,6472132,54
"868","SAAEYB0030",669983.4,6326164.8,53
"869","QDADEU0002",409109.6,7727877.1,55
"870","QDASEQ0001",488205.2,6970550.1,56
"872","SAAKAN0006",671222,6025515,53
"873","SAAKAN0007",643161.8,6025071.5,53
"875","WAACOO0020",274243,6657632,51
"876","NSABHC0005",588986,6476364,54
"877","SAAKAN0011",-35.783415,138.061914,54
"879","QDAEIU0004",202053,7847300,55
"880","SAAKAN0010",762561,6029668.1,53
"882","QDAGUP0031",729880,8135995,54
"883","SAASTP0009",570308,7085335,53
"884","QDAEIU0010",414419.9,7800224.4,55
"885","SASMDD0005",474668,6240658,54
"887","SAAEYB0032",672490.4,6324851.4,53
"888","QDADEU0003",409893.8,7729534.4,55
"890","QDASSD0002",234092,7362462,54
"893","QDASSD0004",238294,7378827,54
"896","QDASSD0006",204522,7356064,54
"900","QDASSD0001",242808,7369711,54
"903","QDASSD0010",194174,7372323,54
"906","QDASSD0011",216152,7427581,54
"909","QDASSD0012",219046,7415673,54
"911","SAAEYB0031",677251.7,6324132.7,53
"912","SAAEYB0033",679291,6322295.8,53
