"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","vegetation_type"
"109","NTAFIN0001",0,0,0.266666666666667,0,0,0,5.6,0,0,0,0.3,0,0,2.06666666666667,1.26666666666667,0,0,0,0.166666666666667,7.86666666666667,0.333333333333333,"Tussock.grass"
"110","NTAFIN0002",0,0,2.53333333333333,0,0.0333333333333333,0,2.43333333333333,0,0,0,6.36666666666667,0,0,0.9,12.8,0,0,0.0333333333333333,13.4666666666667,32.0333333333333,0,"Tussock.grass"
"111","NTAFIN0003",0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,4.13333333333333,0,0,0,13.3666666666667,9.7,0.0666666666666667,"Tree.Palm"
"112","NTAFIN0004",0,0,0.533333333333333,0,0,0.4,2.5,0,0,0,1.93333333333333,0,0,0,35.1666666666667,0,0,0,6.1,12,0.0666666666666667,"Shrub"
"113","NTAFIN0005",0,0,2.36666666666667,0,0,0,0.333333333333333,0,0,0,0.0333333333333333,0,0,2.76666666666667,8.46666666666667,0,0,0.0333333333333333,2.7,11.0333333333333,0.0666666666666667,"Tussock.grass"
"114","NTAFIN0006",0,0,0.333333333333333,0,0,0,5.03333333333333,0,0,0,1.6,0,0,0.0666666666666667,1.4,0,0,0,0.166666666666667,5.5,0,"Tussock.grass"
"115","NTAFIN0007",0,0,2.86666666666667,0,0,0,2.76666666666667,0,0,0,0,0,0,0,0.9,0,0,0,0.1,8,0,"Tussock.grass"
"116","NTAFIN0008",0,0,0.0333333333333333,0,0,0,0.466666666666667,0,0,0,13.6,0,0,0,2.6,0,0,0,0,16.1333333333333,0.0333333333333333,"Tussock.grass"
"117","NTAFIN0009",0,0,0.3,0,0,0,1.83333333333333,0,0,0,5.5,0,0,0,13.8,0.233333333333333,0,0.0666666666666667,2.66666666666667,3.73333333333333,0.166666666666667,"Shrub"
"118","NTAFIN0010",0,0,0.866666666666667,0,0,0,6.23333333333333,0,0,0,6.93333333333333,0,0,0,4.56666666666667,0,0,0,0.1,4.86666666666667,0.2,"Hummock.grass"
"119","NTAFIN0011",0,0,0.666666666666667,0,0,0,3.7,0,0,0,12.6333333333333,0,0,0,16.2333333333333,0,0,0,1.26666666666667,13.4666666666667,0.0333333333333333,"Shrub"
"120","NTAFIN0012",0,0,6.3,0,0,0,1.3,0,0,0,0,0,0,5,0,0,0,0,0,35.5,0,"Tussock.grass"
"121","NTAFIN0013",0,0,2.1,0,0,0,1.6,0,0,0,0,0,0,0.1,7.9,0,0,0,24.1,6.8,0.5,"Tree.Palm"
"122","NTAFIN0014",0,0,0.9,0,0.1,0,0.6,0,0,0,25.9,0,0,0,1.7,0,0,0,6.7,11.2,0,"Hummock.grass"
"123","NTAFIN0015",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1,0,0,0,31.1,12.6,0,"Tree.Palm"
"124","NTAFIN0016",0,0,4,0,0,0,0.4,0,0,0,0,0,0,0,0.1,0,0,0,0,25.6,0,"Tussock.grass"
"125","NTAFIN0017",0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,12.2,23.3,0,"Tussock.grass"
"126","NTAFIN0018",0,0,5.3,0,0,0,0.2,0,0,0,0,0,0,0,19,0,0,0,0.1,9.7,0,"Shrub"
"127","NTAFIN0019",0,0,1.8,0,0.1,0,1,0,0,0,0,0,0,0,2.4,0,0,0,11.2,42.7,0,"Tussock.grass"
"128","NTAFIN0020",0,0,0.1,0,0,0,1.9,0,0,0,16.7,0,0,0,0.1,0,0,0,7.4,28.4,0,"Tussock.grass"
"129","NTAFIN0021",0,0,4.2,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,7.5,0,"Tussock.grass"
"130","NTAFIN0022",0,0,0.2,0,0,0,1.9,0,0,0,0,0,0,0,16.5,0,0,0,0,8.8,0,"Shrub"
"131","NTAFIN0023",0,0,0.8,0,0.3,0,0,0,0,0,25.3,0,0,0,4.9,0,0,10.1,0,3.7,0,"Hummock.grass"
"132","NTAFIN0024",0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,12.9,1.4,0,"Tree.Palm"
"133","NTAFIN0025",0,0,1.8,0,0,0,0.7,0,0,0,0,0,0,1.5,12.3,0,0,0,0,20.2,0,"Tussock.grass"
"134","NTAFIN0026",0,0,1.6,0,0,0,6.7,0,0,0,0,0,0,0,18.9,0,0,0,0.2,26.7,0,"Tussock.grass"
"135","NTAFIN0027",0,0,0.1,0,0,0,3.8,0,0,0,0,0,0,0,0.6,0,0,0,0,39.6,0,"Tussock.grass"
"136","NTAFIN0028",0,0,7.5,0,0,0,0.7,0,0,0,0,0,0,0.3,0,0,0,0,0,6.3,0,"Chenopod"
"137","NTAFIN0029",0,0,2.5,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,19.8,0,"Tussock.grass"
"138","NTAFIN0030",0,0,0.6,0,0,0,0.6,0,0,0,0,0,0,3.7,41.4,0,0,0,0,7.6,0,"Shrub"
"139","NTAFIN0031",0,0,3.9,0,0,0,1.2,0,0,0,0,0,0,0.1,9.8,0,0,0,0,3.2,0,"Shrub"
"140","NTAFIN0032",0,0,0.2,0,0,0,0.5,0,0,0,5,0,0,0,22.9,0,0,0,0,21.6,0,"Shrub"
