Label SW,site_location_name,site_location_id,established_date,point,latitude,longitude,threedcq,,,,
,NSABHC0029,60747,12/09/2016,CENTRE,-31.061725,141.6699472,13.716,,,,
,NSABHC0029,60747,12/09/2016,NE,-31.06126389,141.6704556,6.218,,,,
,NSABHC0029,60747,12/09/2016,NW,-31.06126667,141.6694139,6.356,,,,
,NSABHC0029,60747,12/09/2016,SE,-31.062175,141.6704583,9.097,,,,
NSABHC0029,NSABHC0029,60747,12/09/2016,SW,-31.06216667,141.6694028,10.254,,,,
,NSACHC0001,61260,17/04/2018,CENTRE,-29.44493333,142.2652722,0.564,,,,
,NSACHC0001,61260,17/04/2018,NE,-29.44448333,142.2657889,0.734,,,,
,NSACHC0001,61260,17/04/2018,NW,-29.44448611,142.2647528,0.784,,,,
,NSACHC0001,61260,17/04/2018,SE,-29.44538333,142.2657917,0.818,,,,
NSACHC0001,NSACHC0001,61260,17/04/2018,SW,-29.44538611,142.2647556,0.598,,,,
,NSACHC0002,61250,17/04/2018,CENTRE,-29.30629298,142.1810978,,,,,
,NSACHC0002,61250,17/04/2018,NE,-29.30583333,142.1815889,0.552,,,,
,NSACHC0002,61250,17/04/2018,NW,-29.30583333,142.1805611,0.662,,,,
,NSACHC0002,61250,17/04/2018,SE,-29.30673333,142.1815944,0.581,,,,
NSACHC0002,NSACHC0002,61250,17/04/2018,SW,-29.30673333,142.1805611,0.724,,,,
,NSACHC0003,61261,18/04/2018,CENTRE,-29.212631,141.895979,999,Estimate,,,
,NSACHC0003,61261,18/04/2018,NE,-29.21217778,141.8964917,1.097,,,,
,NSACHC0003,61261,18/04/2018,NW,-29.21217778,141.8954667,0.814,,,,
,NSACHC0003,61261,18/04/2018,SE,-29.21307778,141.8964972,0.836,,,,
NSACHC0003,NSACHC0003,61261,18/04/2018,SW,-29.21308611,141.8954778,1.132,,,,
,NSACHC0004,61262,18/04/2018,CENTRE,-29.06571944,141.8651028,0.719,,,,
,NSACHC0004,61262,18/04/2018,NE,-29.06528822,141.8655456,0.702,,,,
,NSACHC0004,61262,18/04/2018,NW,-29.06529352,141.8645214,0.897,,,,
,NSACHC0004,61262,18/04/2018,SE,-29.06619338,141.8655377,,,,,
NSACHC0004,NSACHC0004,61262,18/04/2018,SW,-29.06618333,141.8645194,1.418,,,,
,NSACOP0001,61243,10/04/2018,CENTRE,-32.5906,145.5412139,0.721,,,,
,NSACOP0001,61243,10/04/2018,NE,-32.59015,145.5417417,0.85,,,,
,NSACOP0001,61243,10/04/2018,NW,-32.59014722,145.540675,0.608,,,,
,NSACOP0001,61243,10/04/2018,SE,-32.59104444,145.5417389,0.736,,,,
NSACOP0001,NSACOP0001,61243,10/04/2018,SW,-32.59106111,145.5406806,0.848,,,,
,NSACOP0002,61244,11/04/2018,CENTRE,-32.60405278,145.6658028,0.717,,,,
,NSACOP0002,61244,11/04/2018,NE,-32.60361944,145.6663556,1.113,,,,
,NSACOP0002,61244,11/04/2018,NW,-32.603625,145.6652861,1.049,,,,
,NSACOP0002,61244,11/04/2018,SE,-32.60452222,145.6663583,0.99,,,,
NSACOP0002,NSACOP0002,61244,11/04/2018,SW,-32.60451944,145.6652889,0.833,,,,
,NSAMDD0001,60227,27/05/2014,CENTRE,-34.18346667,142.5607583,592,,,,
,NSAMDD0001,60227,27/05/2014,NE,-34.18301389,142.5613056,611,,,,
,NSAMDD0001,60227,27/05/2014,NW,-34.18300833,142.5602167,756,,,,
,NSAMDD0001,60227,27/05/2014,SE,-34.18392222,142.5613056,813,,,,
NSAMDD0001,NSAMDD0001,60227,27/05/2014,SW,-34.18391944,142.560225,725,,,,
,NSAMDD0002,60215,28/05/2014,CENTRE,-34.20436944,142.6031583,63,,,,
,NSAMDD0002,60215,28/05/2014,NE,-34.20392222,142.6036778,739,,,,
,NSAMDD0002,60215,28/05/2014,NW,-34.20391944,142.6025917,902,,,,
,NSAMDD0002,60215,28/05/2014,SE,-34.20481111,142.6036806,929,,,,
NSAMDD0002,NSAMDD0002,60215,28/05/2014,SW,-34.20481667,142.6025889,592,,,,
,NSAMDD0003,60230,28/05/2014,CENTRE,-34.20706389,142.6046056,731,,,,
,NSAMDD0003,60230,28/05/2014,NE,-34.20663611,142.60515,143,,,,
,NSAMDD0003,60230,28/05/2014,NW,-34.20663611,142.6040667,849,,,,
,NSAMDD0003,60230,28/05/2014,SE,-34.20753611,142.60515,949,,,,
NSAMDD0003,NSAMDD0003,60230,28/05/2014,SW,-34.20754167,142.6040639,846,,,,
,NSAMDD0004,60216,29/05/2014,CENTRE,-34.16491944,142.5599389,325,,,,
