"","tmin","time"
"631",3.9658203125,1981-09-22
"632",9.9462890625,1981-09-23
"633",4.396484375,1981-09-24
"634",4.515625,1981-09-25
"635",8.42578125,1981-09-26
"636",5.8564453125,1981-09-27
"637",5.8662109375,1981-09-28
"638",7.8759765625,1981-09-29
"639",9.9560546875,1981-09-30
"640",7.7412109375,1981-10-01
"641",11.4013671875,1981-10-02
"642",6.041015625,1981-10-03
"643",5.78125,1981-10-04
"644",9.28125,1981-10-05
"645",11.2607421875,1981-10-06
"646",10.3212890625,1981-10-07
"647",7.44140625,1981-10-08
"648",13.4013671875,1981-10-09
"649",4.1611328125,1981-10-10
"650",5.5810546875,1981-10-11
"651",5.6513671875,1981-10-12
"652",10.5712890625,1981-10-13
"653",10.9013671875,1981-10-14
"654",3.9306640625,1981-10-15
"655",4.9013671875,1981-10-16
"656",4.44140625,1981-10-17
"657",5.810546875,1981-10-18
"658",11.771484375,1981-10-19
"659",9.9208984375,1981-10-20
"660",7.640625,1981-10-21
"661",9.861328125,1981-10-22
"662",6.78125,1981-10-23
"663",5.4013671875,1981-10-24
"664",8.771484375,1981-10-25
"665",13.19140625,1981-10-26
"666",20.62109375,1981-10-27
"667",9.5712890625,1981-10-28
"668",10.0009765625,1981-10-29
"669",11.220703125,1981-10-30
"670",10.111328125,1981-10-31
"671",7.419921875,1981-11-01
"672",12.7998046875,1981-11-02
"673",14.7001953125,1981-11-03
"674",13.3896484375,1981-11-04
"675",7.0498046875,1981-11-05
"676",6.5498046875,1981-11-06
"677",9.73046875,1981-11-07
"678",12.3701171875,1981-11-08
"679",15.3095703125,1981-11-09
"680",13.7802734375,1981-11-10
"681",9.7197265625,1981-11-11
"682",8.990234375,1981-11-12
"683",9.240234375,1981-11-13
"684",9.240234375,1981-11-14
"685",10.509765625,1981-11-15
"686",4.3095703125,1981-11-16
"687",5.1298828125,1981-11-17
"688",8.8603515625,1981-11-18
"689",13.990234375,1981-11-19
"690",11.51953125,1981-11-20
"691",10.75,1981-11-21
"692",13.1396484375,1981-11-22
"693",16.509765625,1981-11-23
"694",12.169921875,1981-11-24
"695",11.0595703125,1981-11-25
"696",15.5,1981-11-26
"697",17.7197265625,1981-11-27
"698",18.9501953125,1981-11-28
"699",13.169921875,1981-11-29
"700",11.7001953125,1981-11-30
"701",11.9296875,1981-12-01
"702",15.509765625,1981-12-02
"703",14.580078125,1981-12-03
"704",14.3095703125,1981-12-04
"705",15.490234375,1981-12-05
"706",12,1981-12-06
"707",14.919921875,1981-12-07
"708",10.41015625,1981-12-08
"709",12.849609375,1981-12-09
"710",9.830078125,1981-12-10
"711",16.509765625,1981-12-11
"712",15.1201171875,1981-12-12
"713",7.8203125,1981-12-13
"714",7.990234375,1981-12-14
"715",9.3701171875,1981-12-15
"716",10.990234375,1981-12-16
"717",13.7001953125,1981-12-17
"718",14.8896484375,1981-12-18
"719",10.599609375,1981-12-19
"720",7.8603515625,1981-12-20
"721",11.849609375,1981-12-21
"722",11.6904296875,1981-12-22
"723",12.740234375,1981-12-23
"724",12.5400390625,1981-12-24
"725",10.8701171875,1981-12-25
"726",13.23046875,1981-12-26
"727",15.3798828125,1981-12-27
"728",15.2197265625,1981-12-28
"729",16.150390625,1981-12-29
"730",17.2001953125,1981-12-30
"731",23.8896484375,1981-12-31
"732",14.28125,1982-01-01
"733",12.111328125,1982-01-02
"734",10.12109375,1982-01-03
"735",11.8505859375,1982-01-04
"736",13.271484375,1982-01-05
"737",21.4609375,1982-01-06
"738",12.5712890625,1982-01-07
"739",13.271484375,1982-01-08
"740",13.3408203125,1982-01-09
"741",18.9208984375,1982-01-10
"742",23.03125,1982-01-11
"743",20.4814453125,1982-01-12
"744",12.3408203125,1982-01-13
"745",11.9306640625,1982-01-14
"746",13.3212890625,1982-01-15
"747",17.8310546875,1982-01-16
"748",20.5107421875,1982-01-17
"749",18.9814453125,1982-01-18
"750",21.451171875,1982-01-19
"751",25.1005859375,1982-01-20
"752",26.4912109375,1982-01-21
"753",21.6513671875,1982-01-22
"754",22.2412109375,1982-01-23
"755",27.4013671875,1982-01-24
"756",18.78125,1982-01-25
"757",12.2412109375,1982-01-26
"758",10.2109375,1982-01-27
"759",13.5712890625,1982-01-28
"760",16.611328125,1982-01-29
"761",13.810546875,1982-01-30
"762",12.3212890625,1982-01-31
"763",10.06640625,1982-02-01
"764",12.31640625,1982-02-02
"765",15.2763671875,1982-02-03
"766",14.3056640625,1982-02-04
"767",11.255859375,1982-02-05
"768",14.6962890625,1982-02-06
"769",16.7763671875,1982-02-07
"770",24.5361328125,1982-02-08
"771",15.0263671875,1982-02-09
"772",13.7255859375,1982-02-10
"773",16.0859375,1982-02-11
"774",19.81640625,1982-02-12
"775",23.076171875,1982-02-13
"776",23.646484375,1982-02-14
"777",25.166015625,1982-02-15
"778",17.5859375,1982-02-16
"779",11.8056640625,1982-02-17
"780",11.5556640625,1982-02-18
"781",10.736328125,1982-02-19
"782",14.6064453125,1982-02-20
"783",14.5556640625,1982-02-21
"784",12.6162109375,1982-02-22
"785",16.4658203125,1982-02-23
"786",10.236328125,1982-02-24
"787",9.8564453125,1982-02-25
"788",12.4658203125,1982-02-26
"789",7.0361328125,1982-02-27
"790",10.416015625,1982-02-28
"791",8.583984375,1982-03-01
"792",9.494140625,1982-03-02
"793",9.6240234375,1982-03-03
"794",14.8837890625,1982-03-04
"795",19.353515625,1982-03-05
"796",23.2939453125,1982-03-06
"797",19.734375,1982-03-07
"798",18.833984375,1982-03-08
"799",7.3935546875,1982-03-09
"800",9.2236328125,1982-03-10
"801",11.6943359375,1982-03-11
"802",13.244140625,1982-03-12
"803",13.32421875,1982-03-13
"804",16.68359375,1982-03-14
"805",19.0439453125,1982-03-15
"806",20.744140625,1982-03-16
"807",17.32421875,1982-03-17
"808",10.744140625,1982-03-18
"809",9.59375,1982-03-19
"810",9.9736328125,1982-03-20
"811",18.0439453125,1982-03-21
"812",23.4541015625,1982-03-22
"813",14.244140625,1982-03-23
"814",8.3740234375,1982-03-24
"815",12.2236328125,1982-03-25
"816",12.3740234375,1982-03-26
"817",11.603515625,1982-03-27
"818",11.2939453125,1982-03-28
"819",10.82421875,1982-03-29
"820",9.1337890625,1982-03-30
"821",10.50390625,1982-03-31
"822",13.328125,1982-04-01
"823",13.48828125,1982-04-02
"824",6.9677734375,1982-04-03
"825",6.267578125,1982-04-04
"826",7.318359375,1982-04-05
"827",8.0380859375,1982-04-06
"828",9.8779296875,1982-04-07
"829",10.828125,1982-04-08
"830",12.09765625,1982-04-09
"831",11.6181640625,1982-04-10
"832",11.9677734375,1982-04-11
