"","site_unique","Andropogoneae","Chloridoideae","non_applicable/no_tribe","latitude","longitude"
"191","NTAGFU0018-53665",23,0,50.7,-17.2724861111111,137.183413888889
"192","NTAGFU0019-53666",34.3,0,39.6,-17.2177416666667,137.236291666667
"193","NTAGFU0020-53667",45.5,0.2,62.2,-16.724875,135.96335
"194","NTAGFU0021-53668",12.1,0,61.6,-16.7154027777778,135.942922222222
"195","NTAGFU0022-53669",3.7,0,52.5,-16.7310138888889,135.963408333333
"196","NTAGFU0023-53670",2.7,0,79,-16.8238944444444,135.830038888889
"197","NTAGFU0024-53671",6.5,0,50.1,-16.8260027777778,135.893211111111
"198","NTAGFU0025-53672",48.1,0,76.8,-16.8252416666667,135.855180555556
"199","NTAGFU0026-53673",43.6,0,47.1,-15.8091222222222,135.406069444444
"200","NTAGFU0027-53674",25,0,53.8,-15.679275,135.460613888889
"201","NTAGFU0028-53675",13.1,0,55.9,-15.6292388888889,135.459755555556
"202","NTAGFU0029-53676",45.5,11.9,28.7,-15.5381,135.409022222222
"203","NTAGFU0030-53677",26.5,0,65.5,-14.1348972222222,134.377833333333
"204","NTAGFU0031-53678",23.4,0,49,-14.1258555555556,134.386677777778
"205","NTAGFU0032-53679",25.2,0.4,30.9,-14.150625,134.373602777778
"206","NTAGFU0033-53680",3,0.1,89.2,-14.1769611111111,134.355480555556
"207","NTAGFU0034-53681",5.3,7.4,47.1,-14.062225,134.421583333333
"208","NTAGFU0035-53682",17.8,0.1,36.5,-14.0478638888889,134.420675
"209","NTAGFU0036-53683",14.8,0,61.1,-14.674575,133.862983333333
"210","NTAGFU0037-53684",16.8,28,48.8,-14.673675,133.892355555556
"211","NTAGFU0038-53685",20.8,0,71.4,-14.689975,133.893744444444
"212","NTAGFU0039-53686",59.6,0.3,35.6,-14.6768,133.882252777778
"213","NTAGFU0040-53687",32,0.2,92,-14.6737055555556,133.844775
"214","NTAGFU0041-58425",39.3,0,64.3,-14.7799944444444,132.891461111111
"215","NTAMAC0001-53574",0,1.4,37.9,-23.9659083333333,133.3723
"216","NTAMAC0001-58791",0,10.5,38.1,-23.9659083333333,133.3723
"217","NTAMAC0002-53575",0.2,0,33.9,-23.9616444444444,133.403508333333
"218","NTAMAC0002-58734",0.6,0,37.6,-23.9616444444444,133.403508333333
"219","NTAMAC0003-53576",0,0,48.5,-23.9590944444444,133.408488888889
"220","NTAMAC0003-58740",0,0.2,43.9,-23.9590944444444,133.408488888889
"221","NTAMGD0001-53520",0.1,10.3,47.5,-20.0230222222222,137.327141666667
"222","NTAMGD0002-53466",6.5,9.6,21.7,-20.0246361111111,137.3258
"223","NTAMGD0003-58431",7.7,0.7,43.8,-17.3582083333333,133.438933333333
"224","NTAMGD0004-58432",15.1,0.1,42.7,-17.5213222222222,133.523488888889
"225","NTAMGD0005-58495",10,0,56.5,-17.4558472222222,133.483566666667
"226","NTAPCK0001-58037",36.1,0,73.8,-12.6757805555556,132.818102777778
"227","NTAPCK0002-58038",25.8,0.2,63.1,-12.820425,132.793452777778
"228","NTAPCK0003-58931",33.6,0,99.7,-12.625497,132.853924
"229","NTAPCK0004-58920",48.3,1,60.1,-12.6238344960457,132.860715379604
"230","NTAPCK0004-58934",51.7,0.2,69.1,-12.6238344960457,132.860715379604
"231","NTAPCK0005-58921",2.9,0,29.5,-12.5733706,132.8388484
"232","NTAPCK0006-58922",29.4,0,75.6,-12.6499321457404,132.865601076437
"233","NTAPCK0006-58935",47.3,0,48.7,-12.6499321457404,132.865601076437
"234","NTAPCK0007-58924",42.5,0,77.4,-12.6936751052381,132.854274250021
"235","NTAPCK0007-58936",54.2,0,69.4,-12.6936751052381,132.854274250021
"236","NTAPCK1009-58937",45,0,49.6,-12.671938,132.942318
"237","NTAPCK1010-58938",25.8,0,67.9,-12.676906,132.964769
"238","NTAPCK1011-58940",25.6,0,63.9,-12.701198,132.929794
"239","NTAPCK1012-58942",32.5,0,69.3,-12.702209,132.932917
"240","NTAPCK2013-58939",34.4,0.1,78.4,-12.706168,132.927351
"241","NTAPCK2014-58941",42.8,0.1,62.1,-12.699107,132.930501
"242","NTASSD0001-53690",0,0,50.4,-25.3097916666667,136.307027777778
"243","NTASSD0003-53691",0,4,32.3,-25.2994444444444,136.298875
"244","NTASSD0004-53692",0,0,35.7,-25.2532666666667,136.274811111111
"245","NTASSD0005-53693",0,3.3,19,-25.7541111111111,136.546952777778
"246","NTASSD0006-53694",0,0,16.7,-25.7534361111111,136.547825
"247","NTASSD0007-53695",0,7.7,16.1,-25.7835555555556,136.564875
"248","NTASSD0008-57074",0,0,24.6,-25.7783361111111,136.562461111111
"249","NTASSD0009-53696",0,2.1,21.9,-24.7817328,136.0114582
"250","NTASSD0010-53697",0,5.5,19.3,-24.792826,136.021357
"251","NTASSD0011-53559",0,1.1,0.3,-25.4805472222222,135.115113888889
"252","NTASSD0012-53560",0,3.8,3.2,-25.5032166666667,135.115711111111
