"","site_location_name","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones","latitude","longitude"
"336","WAASWA0002",397142,6421895,50,-32.3351555555556,115.907163888889
"337","NSTSYB0004",264365,6267644,56,-33.7050222222222,150.456416666667
"338","NSTSYB0005",251481,6273668,56,-33.6479138888889,150.319194444444
"339","NTAARP0003",224841,8504253,53,-13.5169694444444,132.457058333333
"340","NTAMGD0004",343364,8062267,53,-17.5213222222222,133.523488888889
"341","NTASTU0003",320785,8262797,53,-15.70665,133.327522222222
"342","QDAMGD0007",203710.869,7380651.782,55,-23.6581722222222,144.094941666667
"343","WAAMUR0001",304789,6894085,51,-28.0651111111111,121.013705555556
"344","NTAARP0002",207154,8500913,53,-13.5456111111111,132.294363888889
"345","QDAMGD0006",198260,7379756,55,-23.6647083333333,144.041794444444
"346","NTAPCK0001",263032,8597721,53,-12.6757805555556,132.818102777778
"347","NTAPCK0002",260493,8581694,53,-12.820425,132.793452777778
"348","WAACOO0032",243055,6590752,51,-30.7885305555556,120.314936111111
"349","WAAAVW0001",683799,6468749,50,-31.9022361111111,118.943630555556
"350","WAACOO0031",237266,6602154,51,-30.6853222222222,120.257422222222
"351","WAAESP0001",569261,6184703,50,-34.4769,117.754269444444
"352","WAAGAS0002",242339,7411747,51,-23.3847,120.479138888889
"353","WAAMAL0002",700709,6367321,50,-32.814725,119.142836111111
"354","WAAMAL0003",701891,6360548,50,-32.8745888888889,119.158022222222
"355","WAAGVD0001",706159,6715977,51,-29.6692638888889,125.13025
"356","WAAJAF0002",524391,6171428,50,-34.5995416666667,117.266086111111
"357","WAAJAF0003",563203,6192874,50,-34.4036277777778,117.687625
"358","WAAAVW0002",680260,6475066,50,-31.8458333333333,118.905125
"359","QDAGUP0003",779881,7742041,54,-20.3992777777778,143.681688888889
"360","QDAGUP0015",471832,7981351,54,-18.2570472222222,140.732569444444
"361","SASMDD0017",473934,6242731,54,-33.9555916666667,140.717997222222
"363","NTAFIN0014",314574,7285764,53,-24.5309111111111,133.169541666667
"364","SAAEYB0024",598851,6263866.2,53,-33.7616102915026,136.067405126058
"365","WAAPIL0028",791906,7489596,50,-22.6765527777778,119.840088888889
"366","WAAPIL0021",512023,7610729,50,-21.6064388888889,117.116136111111
"367","SAANUL0003",715330,6514709,52,-31.482375,131.266791666667
"368","WAACOO0016",243530.1,6544755.5,51,-31.2032166666667,120.308216666667
"370","SAAFLB0004",279219.717,6116468.073,54,-35.0703472222222,138.5786
"371","SAANUL0004",719048,6511436,52,-31.5111777777778,131.306630555556
"373","NTAFIN0004",335077,7324080,53,-24.1872416666667,133.376366666667
"376","NTAGFU0016",740357,8094605,53,-17.2208861111111,137.260258333333
"377","WAACOO0006",767964,6500845,50,-31.5963777777778,119.824122222222
"378","NSAMDD0017",367195,6273754,55,-33.6687638888889,145.566383333333
"379","NSABHC0020",547156.1,6430102.29,54,-32.264805,141.500681
"380","NSAMDD0020",379730,6325145,55,-33.2068027777778,145.708558333333
